ベンダ,"GRAPHTEC Corporation"
モデル,"GL2000"
バージョン,"Ver1.10  ","Rev0001"
最大CH数,4
Logic/Pulse,Off
温度単位,C
測定間隔,1s
測定点数,       655
トリガ点,         0
開始時刻,2021-07-31,14:22:43
終了時刻,2021-07-31,14:33:37
トリガ時刻,2021-07-31,14:22:43
アンプ設定
CH,信号名,アンプ,入力,レンジ,フィルタ,スパン,,単位,線色,,,線幅
CH1,"CH1","M",DC,10V,Off,+5.000,-5.000,V,28,5,6,0
CH2,"CH2","M",DC,10V,Off,+5.000,-5.000,V,0,13,23,0
XY設定
XY,トレース,X軸,Y軸
XY1,On,CH1,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH4
XY4,Off,CH1,CH2
ポジション・バーニア設定
CH,ポジション,バーニア
CH1,50%,100.0%
CH2,50%,100.0%
CH3,50%,100.0%
CH4,50%,100.0%
測定値
番号,日付,時間,us,CH1,CH2,Alarm,AlarmOut
NO.,Date,Time,us,"V","V","A1234","AO1234"
       228,2021/7/31,14:26:30,     0,+ 1.110,- 2.289,LLLL,LLLL
       229,2021/7/31,14:26:31,     0,+ 1.732,- 1.313,LLLL,LLLL
       230,2021/7/31,14:26:32,     0,+ 1.697,+ 0.312,LLLL,LLLL
       231,2021/7/31,14:26:33,     0,+ 0.944,- 0.296,LLLL,LLLL
       232,2021/7/31,14:26:34,     0,+ 1.615,+ 1.427,LLLL,LLLL
       233,2021/7/31,14:26:35,     0,+ 1.125,+ 0.414,LLLL,LLLL
       234,2021/7/31,14:26:36,     0,+ 1.254,- 0.817,LLLL,LLLL
       235,2021/7/31,14:26:37,     0,+ 0.822,- 0.936,LLLL,LLLL
       236,2021/7/31,14:26:38,     0,+ 0.615,- 0.147,LLLL,LLLL
       237,2021/7/31,14:26:39,     0,+ 0.146,- 0.903,LLLL,LLLL
       238,2021/7/31,14:26:40,     0,+ 1.085,+ 1.461,LLLL,LLLL
       239,2021/7/31,14:26:41,     0,+ 0.973,- 2.047,LLLL,LLLL
       240,2021/7/31,14:26:42,     0,+ 0.965,- 0.467,LLLL,LLLL
       241,2021/7/31,14:26:43,     0,+ 2.228,- 0.799,LLLL,LLLL
       242,2021/7/31,14:26:44,     0,+ 0.925,- 1.244,LLLL,LLLL
       243,2021/7/31,14:26:45,     0,+ 0.817,+ 1.092,LLLL,LLLL
       244,2021/7/31,14:26:46,     0,+ 0.925,+ 3.227,LLLL,LLLL
       245,2021/7/31,14:26:47,     0,+ 1.281,- 1.087,LLLL,LLLL
       246,2021/7/31,14:26:48,     0,+ 0.851,- 1.245,LLLL,LLLL
       247,2021/7/31,14:26:49,     0,+ 0.585,- 0.585,LLLL,LLLL
       248,2021/7/31,14:26:50,     0,+ 1.005,- 0.166,LLLL,LLLL
       249,2021/7/31,14:26:51,     0,+ 1.692,+ 2.261,LLLL,LLLL
